mesto,ocena,ime,kategorija,objave,vpisani,ogledi
281,A-,Trap City,music,1850,13.2,3670572345
282,A-,NickiMinajAtVEVO,music,64,13.2,6776445877
283,A-,Boyce Avenue,music,372,13.2,4851534696
284,A,DisneyChannelLA,entertainment,3797,13.2,9299299730
285,A-,TheOdd1sOut,comedy,114,13.1,2515668318
286,A-,officialpsy,music,88,13.1,7276345778
287,A,KHANDESHI MOVIES,comedy,99,13.1,3855359316
288,B+,The Slow Mo Guys,entertainment,262,13.0,1853638984
289,A,Infinite,entertainment,886,13.0,1929307704
290,A,Tu COSMOPOLIS,people,2327,13.0,2718103882
291,A-,DeToxoMoroxo,entertainment,358,13.0,1500140119
292,A-,AM3NlC,people,4220,13.0,3840884505
293,A,Sonotek,music,8137,12.9,4439935453
294,B,Fifth Harmony,music,67,12.9,132378032
295,A-,Martin Garrix,music,125,12.9,3888697910
296,A,الريماس - AlRemas,music,1876,12.8,7754490581
297,A,Turma da Mônica,film,829,12.8,8971112996
298,A-,Pitbull,music,239,12.7,413485858
299,A-,Anitta,music,54,12.7,4117368968
300,A-,MattyBRaps,music,249,12.7,5921761178
301,B+,Manual do Mundo,tech,1520,12.7,2214775393
302,A-,Fatos Desconhecidos,entertainment,2740,12.7,1629922115
303,A,GMA Network,entertainment,79058,12.6,13231327059
304,A-,Major Lazer,music,291,12.6,6752299235
305,B,Little Mix,music,247,12.6,73260718
306,A,Bollywood Classics,music,1794,12.6,6365423595
307,A,Pencilmation,film,551,12.6,6226730675
308,A,Rotana,music,6969,12.5,8098087566
309,A-,Sandeep Maheshwari,people,248,12.5,688382084
310,A,SSundee,games,2296,12.5,5483674348
311,A,Venus Movies,entertainment,2611,12.5,4670092792
312,A-,Kurt Hugo Schneider,entertainment,509,12.5,3084828675
313,A-,National Geographic,entertainment,9271,12.5,3348228604
314,A,Fueled By Ramen,music,1168,12.5,11703038799
315,A,IGN,games,135087,12.5,9567019192
316,A,Genevieve's Playhouse - Toy Learni…,film,487,12.4,5394789970
317,B+,Canal Nostalgia,entertainment,322,12.4,1065127382
318,B+,Mariale,entertainment,986,12.4,1210001187
319,A,ChrisBrownVEVO,music,232,12.4,8869394756
320,A,CalvinHarrisVEVO,music,127,12.4,11364552101
321,A,CookieSwirlC,entertainment,3206,12.3,12082161296
322,A,TheDonato,games,946,12.3,1512418333
323,A,Enaldinho,comedy,730,12.3,1857184641
324,A,Mikecrack,games,1308,12.3,4300286463
325,A,Calon Sarjana,entertainment,1177,12.3,2533705151
326,A,GEN HALILINTAR,entertainment,594,12.4,2167879634
327,A,FGTeeV,games,1289,12.2,12438187905
329,A,Mnet K-POP,entertainment,17187,12.2,7185874907
330,A,REACT,entertainment,1789,12.2,4252840722
331,B+,NikkieTutorials,howto,755,12.2,1141978428
332,A-,Parafernalha,entertainment,824,12.1,3399796062
333,A-,Lachlan,games,3285,12.1,3466335632
334,A-,NBA,sports,31568,12.1,5970672190
335,A-,The Game Theorists,games,453,12.1,2114015839
336,A-,Lindsey Stirling,music,126,12.1,2736165652
337,B,Camila Cabello,music,30,12.1,66027056
338,A-,INCRÍVEL,,2825,12.1,1460321582
339,A-,H2ODelirious,games,1947,12.1,3061840301
340,A-,Makiman131,entertainment,2540,12.0,3070136322
341,B,Karolgmusic,music,82,12.0,401338639
342,A-,TheBrianMaps,comedy,392,12.0,2662680597
344,A,A4,entertainment,136,12.0,897812028
345,A-,The King of Random,education,1023,12.0,2647672388
